event_id,event_date,event_time,event_time_precision,state,district,subdistrict,village,locality,latitude,longitude,location_precision,landslide_type,trigger_reported,fatalities,houses_affected,road_affected,source_id,source_name,source_url,source_document,source_page,source_date,access_date,confidence,notes
NEI-2021-AR-011,2021-06-22,01:30:00,EXACT_TIME,Arunachal Pradesh,Tirap,,,Kuthong Village in Tirap District,26.911944,95.603611,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,1,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),38,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Arunachal Pradesh/ll; Source Slide No: 11; Card: card_11_p38_x301.png; Page: 38; Reported timing: 1:30
NEI-2021-AR-012,2021-06-30,,DATE_ONLY,Arunachal Pradesh,Upper Siang,,,Pasighat to Yignkiong (100 kms from Yingkiong),28.214774,95.235101,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,0,,NH 52,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),38,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Arunachal Pradesh/12; Source Slide No: 12; Card: card_12_p38_x302.png; Page: 38; Affected transit corridor: NH 52
NEI-2021-AR-013,2021-06-30,,DATE_ONLY,Arunachal Pradesh,West Siang,,,"Garu, 25 km from Likabali near",27.796145,94.71335,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,NH 52,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),39,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Arunachal Pradesh/13; Source Slide No: 13; Card: card_13_p39_x304.png; Page: 39; Affected transit corridor: NH 52
NEI-2021-AR-014,2021-04-28,,DATE_ONLY,Arunachal Pradesh,West Kameng,,,between Membachur and Garbow villages,27.186597,92.303984,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),39,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Arunachal Pradesh/14; Source Slide No: 14; Card: card_14_p39_x305.png; Page: 39
NEI-2021-AR-015,2021-06-27,,DATE_ONLY,Arunachal Pradesh,East Siang,,,Sangam Bridge Collapse Pangin near,28.233722,94.9963,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),39,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Arunachal Pradesh/15; Source Slide No: 15; Card: card_15_p39_x306.png; Page: 39
NEI-2021-AR-016,2021-09-09,,DATE_ONLY,Arunachal Pradesh,Lower Subansiri,,,Raga headquarters,27.794025,94.073954,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),39,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Arunachal Pradesh/16; Source Slide No: 16; Card: card_16_p39_x307.png; Page: 39
NEI-2021-AR-017,2021-09-20,,DATE_ONLY,Arunachal Pradesh,West Kameng,,,20 ocations along BCT Road between Sessa and Nechippu,27.104442,92.566072,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),39,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021/Arunachal Pradesh/17; Source Slide No: 17; Card: card_17_p39_x308.png; Page: 39
NEI-2021-AS-001,2021-06-18,04:30:00,EXACT_TIME,Assam,Kamrup Metropolitan,,,Water Works Colony,26.162784,91.694636,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,1,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),40,2022-02-01,2026-09-08,HIGH,Source Slide ID: Online Media/2021/Assam/72; Source Slide No: 72; Card: card_18_p40_x310.png; Page: 40; Reported timing: 4:30
NEI-2021-AS-002,2021-08-25,,DATE_ONLY,Assam,Nagaon,,,Kaliabor,26.574761,93.110996,EXACT_COORDINATE,Rock fall,Monsoonal rainfall,0,,NH 39,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),40,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021 'Assam/73; Source Slide No: 73; Card: card_19_p40_x311.png; Page: 40; Affected transit corridor: NH 39
NEI-2021-AS-003,2021-10-20,,DATE_ONLY,Assam,Kamrup Metropolitan,,,Guwahati,26.170251,91.690161,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,0,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),40,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021 'Assam/74; Source Slide No: 74; Card: card_20_p40_x312.png; Page: 40
NEI-2021-AS-004,2021-08-06,14:30:00,EXACT_TIME,Assam,Kamrup Metropolitan,,,Borbari,26.154238,91.810523,EXACT_COORDINATE,Debris slide,Monsoonal rainfall,1,,,SRC_NESAC_SLI_2021,"North Eastern Space Applications Centre (NESAC), Department of Space, Government of India",https://nerdrr.gov.in/assets/pdf/Landslide/SLI2021.pdf,NESAC-SR-277-2022 (Seasonal Landslide Inventory for NER - 2021),40,2022-02-01,2026-09-08,HIGH,Source Slide ID: Newspaper/2021 'Assam/75; Source Slide No: 75; Card: card_21_p40_x313.png; Page: 40; Reported timing: 14:30
